차명,변속기,인승,기통,마력,최대토크,연료,주행거리,상담
포르쉐 파나메라 1세대 3.6 4 4WD ,자동,4인승,6기통,310마력,40.8kgm,가솔린,3만km,"6,500"
스즈키 짐니 0.7 4WD,자동,4인승,,,,가솔린,1만km,"2,690"
쉐보레 익스프레스밴 6.0 롱밴,자동,,,,,가솔린,4만km,"5,350"
벤츠 G63 AMG 에디션,자동,5인승,8기통,585마력,86.7kgm,가솔린,8천km,
BMW 6 3세대  640d xDrive 그란 쿠페 M 스포츠 F12 ,자동,,,,,디젤,15만km,"3,750"
BMW 3 4세대  320i ,자동,5인승,4기통,150마력,20.4kgm,가솔린,17만km,300
포르쉐 파나메라 3.0 디젤,자동,4인승,6기통,300마력,66.3kgm,디젤,3만km,"7,500"
링컨 MKX 3.7 AWD  ,자동,5인승,6기통,309마력,38.8kgm,가솔린,11만km,"1,080"
닷지 램 픽업 5.9L 1500,자동,,,,,가솔린/LPG겸용,7만km,"1,400"
BMW X7 M50d 퍼스트 에디션,자동,7인승,6기통,400마력,77.5kgm,디젤,2만km,계약
벤츠 와이즈오토 스프린터 319KB 캠핑카,자동,,,,,디젤,6천km,
맥라렌 675LT 스파이더,자동,2인승,,,,가솔린,7천km,계약
﻿BMW 320d M 스포츠,자동,5인승,4기통,190마력,40.8kgm,디젤,6천km,계약
BMW 540i xDrive M 스포츠 플러스,자동,5인승,6기통,340마력,45.9kgm,가솔린,1만km,"6,500"
벤츠 S580L 4매틱,자동,5인승,,,,가솔린,14km,
랜드로버 레인지로버 벨라 3.0 D300 R-다이나믹 HSE,자동,5인승,6기통,300마력,71.4kgm,디젤,4만km,
BMW 420d 그란쿠페 럭셔리 라인,자동,5인승,4기통,190마력,40.8kgm,디젤,2만km,
벤츠 S63 AMG 4매틱 쿠페,자동,4인승,8기통,585마력,91.8kgm,가솔린,5만km,
닷지 챌린저 6.4 R/T 스캣 팩,자동,,,,,가솔린,1만km,"5,500"
폭스바겐 뉴 CC 2.0 TDI 블루모션 4모션 ,자동,5인승,4기통,177마력,38.8kgm,디젤,9만km,"1,480"
BMW 530i xDrive M 스포츠 플러스,자동,5인승,4기통,252마력,35.7kgm,가솔린,11만km,
마이바흐 62s,자동,4인승,12기통,612마력,102kgm,가솔린,5만km,
벤츠 S560 e,자동,5인승,6기통,367마력,51.0kgm,가솔린+전기,26km,
벤츠 마이바흐 S650 풀만,자동,6인승,12기통,630마력,102kgm,가솔린,73km,
벤츠 AMG GT 4도어 63 S 4매틱 플러스,자동,4인승,8기통,639마력,91.8kgm,가솔린,480km,
벤츠 S500L,자동,5인승,8기통,455마력,71.4kgm,가솔린,3만km,
마쯔다 MX-5 2.0 로드스터,수동,2인승,,,,가솔린,25km,
마쯔다 MX-5 2.0 로드스터,수동,2인승,,,,가솔린,34km,
마쯔다 MX-5 2.0 로드스터,수동,2인승,,,,가솔린,33km,
렉서스 뉴 GS 200t 슈프림,자동,5인승,4기통,245마력,35.7kgm,가솔린,9만km,
벤츠 C43 AMG 4매틱 쿠페,자동,4인승,6기통,367마력,53kgm,가솔린,5만km,
BMW 520d M 스포츠 플러스,자동,5인승,4기통,190마력,40.8kgm,디젤,3만km,
BMW M5 5세대 세단  컴페티션 에디션 ,자동,5인승,8기통,600마력,71.4kgm,가솔린,8만km,"4,800"
벤츠 S350L,자동,5인승,6기통,272마력,35.7kgm,가솔린,14만km,
아우디 A6 3.0 TFSI 콰트로,자동,5인승,6기통,300마력,42.8kgm,가솔린,8만km,950
BMW X5 xDrive 30d,자동,5인승,6기통,258마력,57.1kgm,디젤,10만km,"4,550"
벤츠 E300 4매틱 익스클루시브,자동,5인승,4기통,245마력,37.7kgm,가솔린,6만km,"4,350"
마세라티 기블리 3.0 V6 S Q4 그란스포츠,자동,5인승,6기통,430마력,59.2kgm,가솔린,3만km,0
벤츠 S400L d 4매틱,자동,5인승,6기통,340마력,71.4kgm,디젤,2만km,"11,600"
BMW X5 M50d,자동,5인승,6기통,400마력,77.5kgm,디젤,3만km,"11,600"
아우디 A5 1세대 35 TDI 콰트로 스포트백  ,자동,5인승,4기통,190마력,40.8kgm,디젤,6만km,"2,300"
로터스 엘리스 컵 250,수동,2인승,,,,가솔린,2천km,
람보르기니 우루스 4.0 V8,자동,5인승,8기통,650마력,86.7kgm,가솔린,3만km,계약
페라리 812 슈퍼패스트 6.5 V12,자동,2인승,12기통,800마력,73.3kgm,가솔린,8천km,계약
BMW X7 xDrive 30d 6인승 디자인 퓨어 엑설런스,자동,6인승,6기통,265마력,63.2kgm,디젤,8천km,"11,700"
람보르기니 우루스 4.0 V8,자동,5인승,8기통,650마력,86.7kgm,가솔린,119km,
포르쉐 911 카레라 S,자동,2인승,,,,가솔린,4만km,
벤츠 V300 d,자동,,,,,디젤,400km,
벤츠 AMG GT C 로드스터,자동,2인승,8기통,557마력,69.4kgm,가솔린,2천km,"1,500"
벤츠 SLC 43 AMG,자동,2인승,6기통,367마력,53kgm,가솔린,2만km,계약
포르쉐 뉴 911 카레라 S,자동,4인승,6기통,450마력,54.1kgm,가솔린,1천km,
볼보 뉴 XC90 D5 AWD 인스크립션 ,자동,7인승,4기통,235마력,49kgm,디젤,15만km,"4,650"
포르쉐 마칸 3.0 S 디젤,자동,5인승,6기통,258마력,59.2kgm,디젤,4만km,
포드 F150 3.5 파워부스트 하이브리드 4WD 리미티드,자동,,,,,가솔린+전기,117km,
미니 쿠퍼 D 1.5 하이트림,자동,4인승,3기통,116마력,27.5kgm,디젤,12만km,계약
닛산 쥬크 1.6 SV ,자동,5인승,4기통,190마력,24.5kgm,가솔린,5만km,"1,060"
BMW 540i xDrive M 스포츠 플러스,자동,5인승,6기통,340마력,45.9kgm,가솔린,4만km,
벤틀리 뉴 컨티넨탈 플라잉스퍼 4.0 V8 클래식,자동,5인승,8기통,550마력,78.5kgm,가솔린,45km,계약
벤츠 GLE 450 4매틱,자동,5인승,6기통,367마력,51kgm,가솔린,2만km,
BMW 520d xDrive M 스포츠 플러스,자동,5인승,4기통,190마력,40.8kgm,디젤,6만km,"3,850"
인피니티 QX80 5.6 V8 AWD,자동,7인승,8기통,405마력,57.1kgm,가솔린,6만km,계약
포르쉐 마칸 3.0 GTS,자동,5인승,6기통,360마력,51kgm,가솔린,3만km,"8,799"
BMW X6 2세대 xDrive 30d  ,자동,5인승,6기통,258마력,57.1kgm,디젤,2만km,"6,390"
폭스바겐 티구안 1세대 2.0 TDI  ,자동,5인승,4기통,140마력,32.6kgm,디젤,17만km,790
렉서스 LS 460 AWD,자동,5인승,8기통,362마력,47.6kgm,가솔린,6만km,
BMW X7 xDrive 40i 6인승  M 스포츠 ,자동,6인승,6기통,340마력,45.9kgm,가솔린,3만km,0
벤츠 AMG GT 4도어 43 4매틱 플러스 ,자동,5인승,6기통,367마력,51kgm,가솔린,1만km,
페라리 812 슈퍼패스트 6.5 V12,자동,2인승,12기통,800마력,73.3kgm,가솔린,1천km,
맥라렌 650S 쿠페,자동,2인승,8기통,650마력,69.2kgm,가솔린,2만km,"16,500"
혼다 시빅 1.8 ,자동,5인승,4기통,140마력,17.7kgm,가솔린,14만km,245
벤츠 C 4세대 C220 d 4매틱 쿠페 ,자동,4인승,4기통,194마력,40.8kgm,디젤,1만km,"2,977"
BMW Z4 sDrive20i M 스포츠,자동,2인승,4기통,197마력,32.6kgm,가솔린,8천km,
BMW M4 쿠페 컴페티션,자동,4인승,6기통,450마력,56.1kgm,가솔린,1만km,
벤츠 E 10세대 E220 d 쿠페 ,자동,4인승,4기통,194마력,40.8kgm,디젤,4만km,"1,400"
BMW 7 6세대  730Ld xDrive  ,자동,5인승,6기통,265마력,63.2kgm,디젤,9만km,"5,500"
아우디 A6 5세대 45 TDI 콰트로 프리미엄 ,자동,,,,,디젤,1만km,"5,739"
마세라티 콰트로포르테 3.0 V6,자동,5인승,6기통,350마력,51kgm,가솔린,6만km,"7,200"
BMW 750Li xDrive,자동,5인승,8기통,449마력,66.3kgm,가솔린,13만km,"5,300"
애스턴마틴 DB11 4.0 V8 볼란테,자동,4인승,8기통,510마력,68.9kgm,가솔린,5천km,550
볼보 뉴 XC60 T6 AWD 인스크립션,자동,5인승,4기통,320마력,40.8kgm,가솔린,2만km,"6,300"
랜드로버 뉴 레인지로버 4.4 SDV8 오토바이오그래피,자동,5인승,8기통,339마력,75.5kgm,디젤,7만km,"8,690"
렉서스 LS 500 AWD 플래티넘,자동,5인승,6기통,422마력,61.2kgm,가솔린,1만km,
﻿벤츠 CLS 300d AMG 라인,자동,5인승,4기통,245마력,51kgm,디젤,2만km,
벤틀리 뉴 컨티넨탈 GT 4.0 V8,자동,4인승,8기통,550마력,78.5kgm,가솔린,6천km,
롤스로이스 레이스 6.6 A/T 블랙 배지,자동,4인승,12기통,632마력,88.7kgm,가솔린,5천km,
랜드로버 레인지로버 벨라 3.0 D300 R-다이나믹 HSE,자동,5인승,6기통,300마력,71.4kgm,디젤,5천km,
벤츠 S450L,자동,5인승,6기통,367마력,51kgm,가솔린,4만km,
미니 쿠퍼 1.5 5도어,자동,5인승,3기통,136마력,22.4kgm,가솔린,4만km,
랜드로버 뉴 레인지로버 5.0 V8 SC 오토바이오그래피 LWB,자동,5인승,8기통,525마력,63.8kgm,가솔린,5만km,
포르쉐 파나메라 3.0 4,자동,4인승,6기통,330마력,45.9kgm,가솔린,3만km,
벤츠 E43 AMG 4매틱,자동,5인승,6기통,401마력,53kgm,가솔린,8천km,
벤츠 AMG GT 4도어 63 S 4매틱 플러스,자동,4인승,8기통,639마력,91.8kgm,가솔린,6천km,
푸조 508 1.6 BlueHDi 알뤼르,자동,5인승,4기통,120마력,30.6kgm,디젤,4만km,
벤츠 E220 d 아방가르드,자동,5인승,4기통,194마력,40.8kgm,디젤,2만km,
벤츠 AMG GT 4도어 63 S 4매틱 플러스 ,자동,4인승,8기통,639마력,91.8kgm,가솔린,9천km,
벤츠 A35 AMG 4매틱 세단,자동,5인승,4기통,306마력,40.8kgm,가솔린,1천km,
벤츠 G63 AMG 에디션,자동,5인승,8기통,585마력,86.7kgm,가솔린,15km,
벤츠 G63 AMG 에디션,자동,5인승,8기통,585마력,86.7kgm,가솔린,16km,
롤스로이스 레이스 6.6 A/T 블랙 배지,자동,4인승,12기통,632마력,88.7kgm,가솔린,1천km,
페라리 캘리포니아 T 3.9 V8,자동,4인승,8기통,560마력,77kgm,가솔린,6천km,
벤츠 G63 AMG 에디션,자동,5인승,8기통,585마력,86.7kgm,가솔린,20km,
재규어 XE 20d 프레스티지,자동,5인승,4기통,180마력,43.9kgm,디젤,6만km,"1,650"
아우디 A4 2.0 TDI,자동,5인승,4기통,150마력,32.6kgm,디젤,16만km,890
BMW 118d M 스포츠 퍼스트 에디션,자동,5인승,4기통,150마력,35.7kgm,디젤,6천km,"3,390"
마세라티 콰트로포르테 4.2 V8,자동,5인승,8기통,400마력,46.1kgm,가솔린,5만km,"1,390"
랜드로버 레인지로버 4.0 V8,자동,5인승,8기통,182마력,32kgm,가솔린,14만km,"2,190"
폭스바겐 시로코 2.0 TDi R-라인,자동,4인승,4기통,170마력,35.7kgm,디젤,16만km,890
재규어 XF 2.2D 럭셔리,자동,5인승,4기통,190마력,45.9kgm,디젤,15만km,750
포드 올 뉴 몬데오 2.0 TDCi  트렌드,자동,5인승,4기통,180마력,40.8kgm,디젤,15만km,850
벤츠 E220 d 아방가르드,자동,5인승,4기통,194마력,40.8kgm,디젤,6만km,"3,500"
아우디 뉴 TT 로드스터 45 TFSI 콰트로,자동,2인승,4기통,220마력,35.7kgm,가솔린,7만km,"3,850"
재규어 I페이스 EV400 HSE AWD,자동,5인승,,,,전기,1만km,"6,550"
아우디 A7 1세대  40 TFSI 콰트로 스포츠 ,자동,4인승,4기통,252마력,37.7kgm,가솔린,8만km,"3,800"
포르쉐 뉴 911 카레라 4S,자동,4인승,6기통,450마력,54.1kgm,가솔린,1만km,
BMW 1 1세대 120d 쿠페 ,자동,4인승,4기통,177마력,35.7kgm,디젤,17만km,730
BMW 528i xDrive,자동,5인승,4기통,245마력,35.7kgm,가솔린,18만km,"1,550"
벤츠 S450L 4매틱,자동,5인승,6기통,367마력,51kgm,가솔린,4만km,
벤츠 S350 블루텍,자동,5인승,6기통,258마력,63.2kgm,디젤,19만km,
벤츠 GLC 63 S AMG 4매틱 플러스 쿠페 ,자동,5인승,8기통,510마력,71.4kgm,가솔린,1만km,
랜드로버 디스커버리4 3.0 SDV6 HSE,자동,7인승,6기통,255마력,61.2kgm,디젤,8만km,
포르쉐 파나메라 4.8 터보,자동,4인승,8기통,500마력,71.4kgm,가솔린,6만km,
