차명,변속기,인승,기통,마력,최대 토그,연료,주행거리,가격
기아 올 뉴 K7 2.4 GDi 리미티드,자동,5인승,4기통,190마력,24.6kgm,가솔린,3만km,"1,720"
기아 K5 2.0 럭셔리,자동,5인승,4기통,165마력,20.2kgm,가솔린,7만km,490
현대 그랜져HG 240 럭셔리,자동,5인승,4기통,201마력,25.5kgm,가솔린,11만km,620
기아 올 뉴 모닝 1.0 가솔린  프레스티지 JA,자동,5인승,3기통,,,가솔린,7만km,680
기아 올 뉴 쏘렌토 2.0 디젤 2WD 프레스티지,자동,5인승,4기통,186마력,41kgm,디젤,6만km,"1,450"
현대 쏘나타 뉴 라이즈 2.0 CVVL 프리미엄 스페셜,자동,5인승,4기통,163마력,20kgm,가솔린,2만km,"1,420"
기아 더 뉴 K5 2.0 LPi 럭셔리,자동,5인승,,,,LPG,7만km,750
르노삼성 SM6 2.0 GDe RE,자동,5인승,4기통,150마력,20.6kgm,가솔린,7만km,980
르노삼성 XM3 1.3 TCe  RE 시그니처,자동,5인승,4기통,152마력,26kgm,가솔린,2만km,"1,820"
제네시스 G70 2.2 디젤  엘리트,자동,5인승,4기통,202마력,45kgm,디젤,1천km,"2,860"
현대 LF쏘나타 2.0 CVVL 프리미엄,자동,5인승,4기통,168마력,20.5kgm,가솔린,10만km,880
현대 그랜져IG 3.0 LPi 모던,자동,5인승,6기통,235마력,28.6kgm,LPG,8만km,"1,650"
기아 올 뉴 K7 2.4 GDi 프레스티지,자동,5인승,4기통,190마력,24.6kgm,가솔린,7만km,"1,399"
﻿현대 뉴 i30  1.6 VGT PYL,자동,5인승,4기통,128마력,26.5kgm,디젤,19만km,520
기아 그랜드카니발  R GX 고급형,자동,11인승,,,,디젤,19만km,399
현대 그랜드스타렉스 VAN 5인승  스마트,자동,,,,,디젤,15만km,"1,050"
기아 올 뉴 카니발 3.3 GDi 7인승 하이리무진 프레지던트,자동,7인승,6기통,280마력,34.7kgm,가솔린,11만km,"2,690"
현대 NF쏘나타 트랜스폼 N20 엘레강스 스페셜  고급형,자동,5인승,4기통,163마력,20.1kgm,가솔린,15만km,230
기아 레이 1.0 가솔린  프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,5만km,580
쌍용 렉스턴 스포츠 칸 2.2 디젤 4WD  프로페셔널 X,자동,,,,,디젤,1만km,"2,630"
쉐보레 스파크 트랜스포머 에디션 ,자동,5인승,4기통,70마력,9.4kgm,가솔린,10만km,290
현대 LF쏘나타 2.0 CVVL  프리미엄,자동,5인승,4기통,168마력,20.5kgm,가솔린,12만km,"1,140"
기아 모하비 KV300 4WD  최고급형,자동,7인승,6기통,260마력,56kgm,디젤,15만km,"1,180"
쌍용 렉스턴W 노블레스 4WD ,자동,7인승,4기통,155마력,36.7kgm,디젤,13만km,990
기아 로체 이노베이션 2.0 LEX  고급형,자동,5인승,4기통,163마력,20.1kgm,가솔린,11만km,300
기아 더 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,,,가솔린,4만km,520
현대 그랜져IG 2.4 GDI  프리미엄,자동,5인승,4기통,190마력,24.6kgm,가솔린,14만km,"1,590"
쌍용 코란도 스포츠  익스트림 4WD,자동,,,,,디젤,12만km,"1,290"
현대 포터2  초장축 더블캡 CRDi 기본형,수동,,,,,디젤,22만km,440
쌍용 액티언 스포츠 AX5 2WD 패션,자동,5인승,,,,디젤,27만km,190
쌍용 뉴 코란도 C 2.0 디젤 AWD RX 최고급형,자동,5인승,4기통,149마력,36.7kgm,디젤,15만km,590
현대 포터2 초장축 슈퍼캡 HI-SUP 최고급형,자동,,,,,디젤,9만km,750
기아 올 뉴 카니발 2.2 디젤 11인승 프레스티지,자동,11인승,,,,디젤,10만km,"1,150"
쉐보레 스파크 LT,자동,5인승,4기통,70마력,9.4kgm,가솔린,6만km,490
기아 올 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,82마력,9.6kgm,가솔린,3만km,530
기아 카니발 4세대 2.2 디젤 9인승 시그니처,자동,9인승,,,,디젤,3천km,"4,320"
기아 K5 하이브리드 2세대  2.0 HEV 프레스티지,자동,5인승,4기통,191마력,27kgm,가솔린+전기,5만km,"1,650"
기아 봉고3 1톤 더블캡 초장축,수동,5인승,,,,디젤,11만km,470
르노삼성 뉴SM5 플래티넘  SE,자동,5인승,4기통,141마력,19.8kgm,가솔린,7만km,690
기아 봉고3  1톤 4X2 CRDI 초장축 킹캡 럭셔리,수동,,,,,디젤,10만km,"1,070"
현대 그랜드스타렉스 WAGON 12인승  CVX 럭셔리,수동,12인승,,,,디젤,20만km,380
르노삼성 SM5 노바  SE,자동,5인승,4기통,141마력,19.8kgm,가솔린,15만km,650
기아 K5  2.0 LPi 디럭스,자동,5인승,,,,LPG,12만km,520
기아 봉고3 1.2톤  냉동 탑차,수동,,,,,디젤,22만km,"1,090"
현대 포터2  초장축 더블캡 CRDi 기본형,수동,,,,,디젤,20만km,470
현대 아반떼AD  1.6 GDi 모던 스페셜,자동,5인승,4기통,132마력,16.3kgm,가솔린,9만km,"1,190"
쌍용 렉스턴2  RX5 2WD 고급형,자동,7인승,5기통,176마력,35.7kgm,디젤,24만km,270
현대 그랜드스타렉스  WAGON 12인승 스마트,자동,,,,,디젤,13만km,"1,120"
현대 벨로스터 PYL ,자동,4인승,4기통,140마력,17kgm,가솔린,5만km,790
현대 아반떼AD  1.6 GDi 스마트 스페셜,자동,5인승,4기통,132마력,16.3kgm,가솔린,7만km,"1,180"
현대 그랜저 뉴 럭셔리  Q270 럭셔리,자동,5인승,6기통,195마력,25.5kgm,LPG,17만km,370
현대 포터2  초장축 슈퍼캡 CRDi 스마트,수동,,,,,디젤,4만km,"1,230"
현대 아반떼AD  1.6 LPi 스타일 ,자동,5인승,4기통,120마력,15.5kgm,LPG,4만km,820
쉐보레 트랙스 1.4 가솔린 LT 디럭스,자동,5인승,4기통,140마력,20.4kgm,가솔린,8만km,769
기아 봉고3 캠핑카,자동,,,,,디젤,2만km,"3,079"
기아 올 뉴 K7 3.0 LPi 럭셔리,자동,5인승,,,,LPG,4만km,"1,789"
기아 올 뉴 모닝 1.0 가솔린 프레스티지 JA,자동,5인승,3기통,,,가솔린,1만km,"1,159"
쉐보레 트랙스  1.6 디젤 LTZ,자동,5인승,4기통,135마력,32.7kgm,디젤,15만km,799
현대 쏘나타 더 브릴리언트 2.0 LPi 프리미엄,자동,5인승,,,,LPG,16만km,619
현대 YF쏘나타 2.0 Y20 프리미어 고급형,자동,5인승,4기통,165마력,20.2kgm,가솔린,15만km,530
현대 쏘나타3 1.8 GL 디럭스,자동,5인승,4기통,110마력,16.5kgm,가솔린,5만km,220
현대 그랜져XG Q25 SE,자동,5인승,6기통,176마력,23.5kgm,가솔린,3만km,350
현대 에쿠스 GS 350 고급형,자동,5인승,6기통,210마력,31kgm,가솔린,15만km,350
현대 에쿠스 JS 350 밸류 VIP,자동,5인승,6기통,210마력,31kgm,가솔린,5만km,750
현대 에쿠스 JS 350 밸류 VIP,자동,5인승,6기통,210마력,31kgm,가솔린,5만km,777
기아 엔터프라이즈 3.0 SL,자동,5인승,,,,가솔린,7만km,600
기아 엔터프라이즈 2.5 SL,자동,5인승,,,,가솔린,7만km,650
쌍용 체어맨 CM 600L 리무진,자동,5인승,6기통,220마력,32kgm,가솔린,8만km,777
GM대우 프린스 1.8 MPFi,수동,5인승,4기통,,,가솔린,4만km,777
밴텍 라쿤팝 이동업무차,자동,,,,,디젤,6만km,"3,200"
쌍용 뉴 스타일 코란도 C 2.2 디젤 2WD 익스트림 스포츠,자동,5인승,4기통,178마력,40.8kgm,디젤,7만km,"1,499"
기아 더 뉴 모닝 1.0 스포츠  런 하이,자동,5인승,3기통,78마력,9.6kgm,가솔린,5만km,490
기아 봉고3 파워게이트 ,자동,3인승,,,,디젤,12만km,"1,290"
현대 투싼ix 디젤 LMX20 2WD 프리미엄,자동,5인승,4기통,184마력,40kgm,디젤,5만km,650
현대 그랜저 뉴 럭셔리 Q270 럭셔리,자동,5인승,6기통,195마력,25.5kgm,가솔린,9만km,340
현대 YF쏘나타 2.0 Y20 LPi  탑,자동,5인승,,,,LPG,7만km,580
현대 더 뉴 벨로스터 PYL DCT ,자동,4인승,4기통,140마력,16.9kgm,가솔린,11만km,590
현대 싼타페DM 2.0 VGT 2WD 모던,자동,,,,,디젤,8만km,"1,150"
기아 K3 1.6 GDI 디럭스,자동,5인승,4기통,,,가솔린,11만km,480
현대 아반떼MD M16 GDi 스마트,자동,5인승,,,,가솔린,9만km,570
쉐보레 올 뉴 말리부 1.5 터보 LS 디럭스,자동,5인승,4기통,166마력,25.5kgm,가솔린,12만km,710
기아 올 뉴 카니발 2.2 디젤 11인승  럭셔리,자동,11인승,,,,디젤,14만km,"1,270"
현대 엑센트  1.6 VGT  프리미어,자동,5인승,4기통,128마력,26.5kgm,디젤,19만km,350
﻿르노삼성 마스터 2.3 디젤 밴 L,수동,,,,,디젤,400km,"2,599"
르노삼성 마스터 2.3 디젤 밴 L,수동,,,,,디젤,400km,"2,599"
르노삼성 뉴 SM5 SE  플러스,자동,5인승,4기통,140마력,18.8kgm,가솔린,9만km,260
쌍용 액티언 CX5 4WD 최고급형,자동,5인승,4기통,,,디젤,16만km,330
케이씨 노블 클라쎄 카니발,자동,9인승,6기통,280마력,34.7kgm,가솔린,4만km,"6,299"
현대 LF쏘나타 2.0 CVVL 스마트,자동,5인승,4기통,168마력,20.5kgm,가솔린,9만km,"1,299"
기아 K5 2.0 노블레스,자동,5인승,4기통,165마력,20.2kgm,가솔린,7만km,370
기아 더 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,,,가솔린,5만km,410
쌍용 티볼리 1.6 디젤 2WD VX,자동,5인승,4기통,115마력,30.6kgm,디젤,3만km,970
현대 아반떼AD 1.6 GDi 스마트 스페셜,자동,5인승,4기통,132마력,16.3kgm,가솔린,6만km,660
기아 셀토스 1.6 디젤 2WD 노블레스,자동,5인승,4기통,136마력,32.6kgm,디젤,4만km,"2,099"
현대 디 올 뉴 투싼 G1.6T HEV 프리미엄,자동,5인승,4기통,230마력,26.9kgm,가솔린+전기,1천km,"2,899"
현대 LF쏘나타 2.0 T-GDi 스마트,자동,5인승,4기통,245마력,36kgm,가솔린,5만km,"1,099"
현대 i30CW 1.6 VVT  디럭스,자동,5인승,4기통,124마력,15.9kgm,가솔린,16만km,330
현대 i30 1.6 VVT 럭셔리,수동,5인승,4기통,124마력,15.9kgm,가솔린,21만km,298
GM대우 레스타 단축 34인승 어린이버스,수동,,,,,디젤,10만km,"2,490"
기아 포르테 1.6 GDI 럭셔리,자동,5인승,4기통,140마력,16.9kgm,가솔린,11만km,395
쌍용 로디우스 유로 RD500 4WD,자동,11인승,,,,디젤,14만km,688
기아 더 뉴 쏘렌토 2.0 디젤 2WD 노블레스,자동,5인승,4기통,186마력,41kgm,디젤,4만km,"2,490"
현대 그랜드스타렉스 WAGON 12인승 CVX 럭셔리,자동,,,,,디젤,13만km,"1,095"
현대 메가트럭 4.5톤 초장축 골드,수동,,,,,디젤,87만km,"1,388"
현대 뉴 카운티 장축 SUP 29인승,수동,,,,,디젤,5만km,"5,480"
기아 더 뉴 카렌스 1.7 VGT 프레스티지,자동,5인승,4기통,141마력,34.7kgm,디젤,12만km,"1,088"
쉐보레 스파크 LT,자동,5인승,4기통,70마력,9.4kgm,가솔린,8만km,448
현대 베라크루즈 2WD 300X 디럭스,자동,7인승,6기통,245마력,46kgm,디젤,15만km,788
현대 그랜져HG 240 럭셔리,자동,5인승,4기통,201마력,25.5kgm,가솔린,9만km,988
현대 그랜드스타렉스 12인승 어린이 보호차량,자동,12인승,,,,디젤,11만km,988
현대 그랜드스타렉스 12인승 어린이 보호차량,자동,12인승,,,,디젤,13만km,798
르노삼성 SM7 뉴 아트 SE23 플레저,자동,5인승,6기통,170마력,23kgm,가솔린,16만km,395
기아 오피러스 프리미엄 GH330 프레스티지,자동,5인승,6기통,259마력,32.2kgm,가솔린,12만km,877
GM대우 레스타 장축 어린이버스,수동,,,,,디젤,3만km,"4,588"
기아 봉고3 익스내장탑차,자동,,,,,디젤,13만km,"1,388"
쌍용 코란도 스포츠 CX7 4WD 패션,자동,5인승,,,,디젤,12만km,"1,198"
현대 포터2 캠핑카,자동,,,,,디젤,3만km,"2,280"
두성 이동업무차,자동,,,,,디젤,5만km,"2,995"
르노삼성 마스터 2.3 디젤 캠핑카,수동,,,,,디젤,7천km,"3,688"
기아 오피러스 프리미엄 GH330 럭셔리,자동,5인승,6기통,259마력,32.2kgm,가솔린,14만km,775
기아 그랜드카니발 R 프레지던트,자동,11인승,,,,디젤,18만km,882
제네시스 EQ900 5.0 GDi AWD 프레스티지,자동,5인승,8기통,425마력,53kgm,가솔린,12만km,"3,600"
기아 더 뉴 카니발 3.3 가솔린 9인승 노블레스 스페셜,자동,9인승,6기통,280마력,34.7kgm,가솔린,1천km,"3,990"
제네시스 G80 3.3 GDi AWD 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,8만km,"2,890"
기아 올 뉴 K7 하이브리드 2.4 HEV 노블레스 스페셜,자동,5인승,4기통,199마력,26.7kgm,가솔린+전기,6만km,"2,790"
기아 올 뉴 K7 3.0 LPi 럭셔리,자동,5인승,6기통,235마력,28.6kgm,LPG,7만km,"1,980"
제네시스 EQ900 3.8 GDi AWD 프레스티지,자동,5인승,6기통,315마력,40.5kgm,가솔린,4만km,"5,390"
기아 올 뉴 카니발 2.2 디젤 7인승 리무진 프레지던트,자동,7인승,4기통,202마력,45kgm,디젤,4만km,"3,190"
기아 더 뉴 K3 1.6 VGT  트렌디,자동,5인승,4기통,136마력,30.6kgm,디젤,4만km,"1,190"
기아 올 뉴 K7 2.2 디젤 프레스티지,자동,5인승,,,,디젤,5만km,"1,990"
현대 그랜져IG 3.0 GDI 익스클루시브 스페셜,자동,5인승,6기통,266마력,31.4kgm,가솔린,7만km,"2,350"
제네시스 G80 3.3 GDi AWD 프리미엄 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,2만km,"4,250"
기아 올 뉴 K7 2.4 GDi 프레스티지,자동,5인승,4기통,190마력,24.6kgm,가솔린,7만km,"2,130"
현대 그랜져IG 3.0 GDI 익스클루시브 스페셜,자동,5인승,6기통,266마력,31.4kgm,가솔린,8만km,"2,290"
현대 코나 1.6 T-GDi 2WD 프리미엄,자동,5인승,4기통,177마력,27kgm,가솔린,3만km,"1,890"
기아 포르테 쿱 1.6 GDI 럭셔리,자동,5인승,4기통,140마력,16.9kgm,가솔린,4만km,730
제네시스 EQ900 3.8 GDi AWD  럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,3만km,"4,880"
제네시스 EQ900 3.8 GDi AWD  프리미엄 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,4만km,"5,099"
제네시스 EQ900 5.0 GDi AWD  프레스티지,자동,5인승,8기통,425마력,53kgm,가솔린,7만km,"5,590"
제네시스 EQ900 5.0 GDi AWD  프레스티지,자동,5인승,8기통,425마력,53kgm,가솔린,11만km,"4,590"
제네시스 EQ900 5.0 GDi AWD  프레스티지,자동,5인승,8기통,425마력,53kgm,가솔린,8만km,"5,390"
제네시스 EQ900 3.8 GDi AWD  프리미엄 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,5만km,"5,099"
제네시스 EQ900 3.8 GDi  럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,2만km,"4,399"
제네시스 EQ900 3.8 GDi 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,9만km,"3,399"
제네시스 EQ900 3.8 GDi AWD  프레스티지,자동,5인승,6기통,315마력,40.5kgm,가솔린,8만km,"4,399"
제네시스 EQ900 5.0 GDi AWD  프레스티지 리무진,자동,5인승,8기통,425마력,53kgm,가솔린,8만km,"4,490"
제네시스 G80 3.3 GDi AWD 프레스티지,자동,5인승,6기통,282마력,35.4kgm,가솔린,7만km,"3,799"
제네시스 EQ900  3.8 GDi AWD 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,4만km,"4,499"
제네시스 EQ900 3.8 GDi AWD 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,4만km,"4,499"
제네시스 EQ900 3.8 GDi AWD  프레스티지,자동,5인승,6기통,315마력,40.5kgm,가솔린,5만km,"5,690"
제네시스 EQ900 3.8 GDi AWD  프레스티지,자동,5인승,6기통,315마력,40.5kgm,가솔린,7만km,"5,390"
제네시스 EQ900 3.8 GDi AWD  프레스티지,자동,5인승,6기통,315마력,40.5kgm,가솔린,5만km,"4,990"
제네시스 EQ900 3.8 GDi AWD  프리미엄 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,10만km,"3,990"
﻿기아 올 뉴 K7 3.0 LPi 럭셔리,자동,5인승,,,,LPG,10만km,"1,450"
현대 그랜져HG 220 디젤 프리미엄,자동,5인승,4기통,202마력,45kgm,디젤,12만km,"1,120"
GM대우 라세티 프리미어 CDX 고급형,자동,5인승,4기통,114마력,15.5kgm,가솔린,9만km,190
현대 쏘나타 더 브릴리언트 2.0 CVVL 스마트,자동,5인승,4기통,172마력,20.5kgm,가솔린,6만km,640
쉐보레 스파크 LT 스페셜 에디션,자동,5인승,4기통,70마력,9.4kgm,가솔린,8만km,200
쌍용 티볼리 1.6 가솔린 2WD VX,자동,5인승,4기통,126마력,16kgm,가솔린,8만km,780
기아 레이 1.0 가솔린 프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,7만km,710
현대 아반떼MD M16 GDi 탑,자동,5인승,4기통,140마력,16.9kgm,가솔린,6만km,400
현대 YF쏘나타 2.0 Y20 프라임,자동,5인승,4기통,165마력,20.2kgm,가솔린,13만km,320
기아 올 뉴 모닝 바이퓨얼 럭셔리,자동,5인승,3기통,82마력,9.6kgm,가솔린/LPG겸용,6만km,480
현대 싼타페DM 2.2 VGT 2WD  익스클루시브,자동,7인승,4기통,200마력,44.5kgm,디젤,14만km,"1,090"
기아 더 뉴 K3 1.6 GDi 트렌디,자동,5인승,4기통,132마력,16.3kgm,가솔린,3만km,799
현대 YF쏘나타 2.0 Y20 LPi  프리미어,자동,5인승,,,,LPG,13만km,290
쌍용 액티언 스포츠 AX7 4WD 패션,자동,5인승,,,,디젤,8만km,430
기아 그랜드카니발 R GLX R스페셜,자동,11인승,,,,디젤,15만km,480
기아 뉴 스포티지 TLX 2WD 최고급형,자동,5인승,4기통,151마력,32kgm,디젤,14만km,260
기아 올 뉴 카니발 2.2 디젤 9인승 프레스티지,자동,9인승,4기통,202마력,45kgm,디젤,10만km,"1,550"
현대 그랜져HG 300 LPG  이그제큐티브,자동,5인승,,,,LPG,18만km,830
기아 더 뉴 K7 3.0 GDI  프레스티지,자동,5인승,6기통,270마력,31.6kgm,가솔린,16만km,450
기아 뉴 오피러스 GH330 프리미엄,자동,5인승,6기통,247마력,31.5kgm,가솔린,18만km,230
GM대우 마티즈 크리에이티브 그루브 일반형,자동,5인승,4기통,70마력,9.4kgm,가솔린,10만km,200
기아 레이 1.0 가솔린 디럭스 스페셜,자동,5인승,3기통,78마력,9.6kgm,가솔린,12만km,539
현대 투싼ix 디젤 X20 2WD 스마트,자동,5인승,4기통,184마력,40kgm,디젤,9만km,980
현대 싼타페DM 2.0 VGT 2WD 프리미엄,자동,,,,,디젤,10만km,"1,370"
쌍용 티볼리 1.6 가솔린 2WD VX,자동,5인승,4기통,126마력,16kgm,가솔린,5만km,"1,300"
현대 LF쏘나타 2.0 LPi 스마트,자동,5인승,,,,LPG,8만km,960
기아 올 뉴 K7 2.4 GDi 프레스티지,자동,5인승,4기통,190마력,24.6kgm,가솔린,3만km,"1,930"
현대 뉴 i30 1.6 GDi PYL,자동,5인승,4기통,140마력,16.9kgm,가솔린,4만km,980
기아 올 뉴 카니발  3.3 GDi 9인승 하이리무진 노블레스 ,자동,9인승,6기통,280마력,34.7kgm,가솔린,11만km,"2,550"
기아 뉴 스포티지 TLX 2WD 최고급형,자동,5인승,4기통,146마력,32kgm,디젤,18만km,260
현대 더 뉴 그랜드스타렉스 웨건 12인승 2WD 스마트,자동,12인승,,,,디젤,4만km,"1,900"
현대 더 뉴 맥스크루즈 R2.2 e-VGT 4WD 파이니스트 에디션,자동,7인승,4기통,202마력,45kgm,디젤,6만km,"2,660"
GM대우 뉴 다마스 코치 5인승 슈퍼,수동,5인승,4기통,41마력,6.7kgm,LPG,3천km,750
현대 싼타페 더 프라임 2.0 디젤 2WD 프리미엄,자동,5인승,4기통,186마력,41kgm,디젤,5만km,"1,960"
현대 제네시스 BH380 로얄 VIP 팩,자동,5인승,6기통,290마력,36.5kgm,가솔린,26만km,480
기아 레이 1.0 가솔린 럭셔리,자동,5인승,3기통,78마력,9.6kgm,가솔린,9만km,730
기아 봉고3 1톤 4X2 CRDI 초장축 표준캡,수동,3인승,,,,디젤,12만km,950
현대 그랜드스타렉스 WAGON 12인승 CVX 럭셔리,자동,,,,,디젤,10만km,"1,170"
현대 그랜져IG 2.4 GDI 모던,자동,5인승,4기통,190마력,24.6kgm,가솔린,5만km,"2,180"
현대 그랜드스타렉스 WAGON 12인승 CVX 럭셔리,자동,12인승,,,,디젤,12만km,"1,170"
현대 쏘나타 G2.0 프리미엄 패밀리 DN8,자동,5인승,4기통,160마력,20kgm,가솔린,3천km,"2,560"
현대 LF쏘나타 2.0 CVVL 스마트 스페셜,자동,5인승,4기통,168마력,20.5kgm,가솔린,4만km,"1,580"
현대 그랜드스타렉스 WAGON 11인승 CVX 프리미엄,자동,11인승,,,,디젤,15만km,860
쌍용 렉스턴 스포츠 칸 2.2 디젤 4WD 프로페셔널 S,자동,,,,,디젤,3만km,"2,870"
GM대우 뉴 라보 접이식탑차 롱카고,수동,2인승,,,,LPG,1만km,970
현대 포터2 초장축 더블캡 골드 기본형,수동,5인승,,,,디젤,10만km,"1,180"
기아 스포티지 4세대 1.7 디젤 2WD 노블레스,자동,5인승,4기통,141마력,34.7kgm,디젤,9만km,"1,580"
현대 더 뉴 그랜드스타렉스 웨건 12인승 4WD 스마트,자동,12인승,,,,디젤,5만km,"2,800"
기아 올 뉴 카니발 2.2 디젤 9인승 럭셔리,자동,9인승,4기통,202마력,45kgm,디젤,9만km,"1,750"
현대 YF쏘나타 2.0 Y20 프라임 블랙,자동,5인승,4기통,165마력,20.2kgm,가솔린,16만km,450
현대 베라크루즈 4WD 300X 디럭스,자동,7인승,6기통,245마력,46kgm,디젤,9만km,"1,200"
기아 그랜드카니발 R GLX 최고급형,자동,11인승,,,,디젤,14만km,680
GM대우 스테이츠맨 2.8 V6,자동,5인승,,,,가솔린,7만km,800
기아 포텐샤 2.2 DOHC 클래식,자동,5인승,,,,가솔린,18만km,850
쉐보레 스파크 LS 스타,수동,5인승,4기통,70마력,9.4kgm,가솔린,10만km,350
현대 i40 살룬 2.0 GDi  스마트,자동,5인승,4기통,178마력,21.7kgm,가솔린,11만km,850
기아 뉴 포텐샤 2.0  클래식,자동,5인승,,,,가솔린,4만km,800
현대 그랜져IG 2.4 GDI 모던,자동,5인승,4기통,190마력,24.6kgm,가솔린,3만km,"2,150"
기아 봉고3 1톤 4X4 CRDI 장축,수동,3인승,,,,디젤,7만km,"1,280"
현대 제네시스 BH380  로얄,자동,5인승,6기통,290마력,36.5kgm,가솔린,10만km,620
현대 그랜드스타렉스 VAN 3인승  CVX 럭셔리 ,자동,3인승,,,,디젤,13만km,610
현대 포터2 초장축 일반캡 CRDi  고급형,수동,,,,,디젤,14만km,410
현대 포터2 초장축 슈퍼캡 CRDi 최고급형,자동,,,,,디젤,14만km,410
기아 봉고3 1톤 4X2 CRDI 초장축  킹캡,자동,3인승,,,,디젤,12만km,400
기아 레이 1.0 가솔린  프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,9만km,530
기아 레이 1.0 밴  고급형,자동,5인승,3기통,78마력,9.6kgm,가솔린,7만km,430
기아 레이 1.0 가솔린  프레스티지,자동,5인승,3기통,78마력,9.6kgm,가솔린,8만km,460
기아 올 뉴 모닝 1.0 가솔린  프레스티지 JA,자동,5인승,3기통,,,가솔린,1만km,740
현대 포터2 초장축 더블캡 CRDi  최고급형,자동,,,,,디젤,14만km,830
현대 그랜드스타렉스 캠핑카 ,자동,,,,,디젤,12만km,"1,600"
﻿기아 올 뉴 K7  2.4 GDi 리미티드 에디션,자동,5인승,4기통,190마력,24.6kgm,가솔린,7만km,"2,099"
기아 더 뉴 K5 2세대  2.0 가솔린 럭셔리,자동,5인승,4기통,163마력,20kgm,가솔린,7만km,"1,599"
현대 싼타페 더 프라임  2.0 디젤 2WD 밸류 플러스,자동,5인승,4기통,186마력,41kgm,디젤,9만km,"1,999"
현대 그랜져IG  2.2 e-VGT 프리미엄 스페셜,자동,5인승,4기통,202마력,45kgm,디젤,5만km,"2,299"
기아 올 뉴 K7  2.4 GDi 리미티드,자동,5인승,4기통,190마력,24.6kgm,가솔린,4만km,"2,099"
현대 싼타페 더 프라임  2.0 디젤 2WD 프리미엄,자동,5인승,4기통,186마력,41kgm,디젤,9만km,"1,899"
쉐보레 더 넥스트 스파크  1.0 LT 플러스,자동,5인승,4기통,,,가솔린,9만km,599
현대 더 뉴 그랜져 3.3 GDi 캘리그래피,자동,5인승,,,,가솔린,5천km,"4,169"
현대 그랜져IG  3.0 GDI 익스클루시브,자동,5인승,6기통,266마력,31.4kgm,가솔린,8만km,"2,199"
기아 올 뉴 K7  3.3 GDi 노블레스 스페셜,자동,5인승,6기통,290마력,35kgm,가솔린,9만km,"2,269"
르노삼성 뉴 SM5   SE 플러스,자동,5인승,4기통,141마력,19.8kgm,가솔린,13만km,469
기아 올 뉴 K7  2.4 GDi 프레스티지,자동,5인승,4기통,190마력,24.6kgm,가솔린,6만km,"2,169"
제네시스 G80  3.3 GDi AWD 프리미엄 럭셔리,자동,5인승,6기통,282마력,35.4kgm,가솔린,4만km,"3,799"
기아 올 뉴 K7  3.3 GDi 노블레스 스페셜,자동,5인승,6기통,290마력,35kgm,가솔린,9만km,"2,269"
기아 올 뉴 K7  2.4 GDi 프레스티지,자동,5인승,4기통,190마력,24.6kgm,가솔린,1만km,"2,169"
기아 쏘렌토R  2.2 TLX 2WD 최고급형,자동,7인승,4기통,200마력,44.5kgm,디젤,15만km,769
현대 그랜져IG  2.4 GDI 프리미엄 스페셜,자동,5인승,4기통,190마력,24.6kgm,가솔린,6만km,"2,399"
현대 그랜드스타렉스  WAGON 12인승 CVX 럭셔리,자동,12인승,,,,디젤,19만km,499
기아 올 뉴 K7  3.3 GDi 노블레스,자동,5인승,6기통,290마력,35kgm,가솔린,3만km,"2,269"
현대 그랜져IG  3.0 GDI 익스클루시브,자동,5인승,6기통,266마력,31.4kgm,가솔린,9만km,"2,169"
현대 그랜져HG  240 모던,자동,5인승,4기통,190마력,25.5kgm,가솔린,8만km,"1,169"
현대 포터2  초장축 슈퍼캡 CRDi 고급형,수동,,,,,디젤,19만km,769
현대 그랜져IG 3.0 LPi 모던,자동,5인승,6기통,235마력,28.6kgm,LPG,8만km,100
기아 K5 2.0 LPi 프레스티지,자동,5인승,,,,LPG,15만km,690
쉐보레 아베오 1.4 터보 RS 해치백,자동,5인승,4기통,140마력,20.4kgm,가솔린,11만km,590
기아 그랜드카니발 R GLX 최고급형,자동,11인승,,,,디젤,16만km,750
현대 뉴 에쿠스 VS 380 럭셔리,자동,5인승,6기통,290마력,36.5kgm,가솔린,14만km,920
현대 YF쏘나타 2.0 Y20 LPi  탑,자동,5인승,,,,LPG,18만km,320
기아 뉴모닝 LX 고급형 블랙프리미엄,자동,5인승,4기통,72마력,9.2kgm,가솔린,13만km,230
기아 그랜드카니발 GLX 최고급형,자동,11인승,4기통,170마력,36kgm,디젤,11만km,780
