차명,변속기,인승,기통,마력,최대 토그,연료,주행거리,가격
르노삼성 QM6 2.0 GDe 2WD  RE,자동,5인승,4기통,144마력,20.4kgm,가솔린,1만km,"2,170"
제네시스 EQ900 3.8 GDi 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,5만km,"3,500"
쉐보레 카마로 SS 6.2 V8  ,자동,4인승,8기통,453마력,62.9kgm,가솔린,7만km,"2,700"
쉐보레 크루즈 2.0 LTZ 플러스,자동,5인승,4기통,163마력,36.7kgm,디젤,9만km,480
쉐보레 스파크 LT,자동,5인승,4기통,70마력,9.4kgm,가솔린,7만km,400
GM대우 마티즈 크리에이티브 그루브  일반형,자동,5인승,4기통,70마력,9.4kgm,가솔린,8만km,250
르노삼성 SM7 VQ23 SE ,자동,5인승,6기통,170마력,23kgm,가솔린,15만km,160
기아 더 뉴 카니발  3.3 가솔린 9인승 하이리무진 노블레스 스페셜,자동,9인승,6기통,280마력,34.7kgm,가솔린,4만km,"4,000"
기아 쏘울 1.6 2U 고급형,자동,5인승,4기통,124마력,15.9kgm,가솔린,13만km,350
현대 팰리세이드 3.8 가솔린 2WD VIP,자동,7인승,6기통,295마력,36.2kgm,가솔린,5천km,0
현대 제네시스 BH380 로얄 VIP 팩,자동,5인승,6기통,290마력,36.5kgm,가솔린,29만km,890
﻿제네시스 EQ900 3.8 GDi AWD 프리미엄 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,3만km,"5,350"
현대 포터2 4WD 더블캡,수동,,,,,디젤,4만km,"1,800"
현대 제네시스 쿠페 200 터보 P,자동,4인승,4기통,210마력,30.5kgm,가솔린,17만km,690
현대 뉴스타렉스 점보 CRDI 12인승 2WD GRX 고급형,자동,12인승,,,,디젤,17만km,499
기아 올 뉴 K7 3.0 LPi 럭셔리,자동,5인승,,,,LPG,15만km,"1,490"
현대 그랜져 2.0,수동,5인승,,,,가솔린,35만km,990
르노삼성 SM7 VQ23 LE,자동,5인승,6기통,170마력,23kgm,가솔린,6만km,320
현대 아이오닉 일렉트릭 Q,자동,5인승,,,,전기,2만km,"2,600"
기아 봉고3 1톤 킹캡 장축 4륜,수동,,,,,디젤,45만km,700
쉐보레 임팔라 2.5 LTZ,자동,5인승,4기통,199마력,26kgm,가솔린,9만km,"1,199"
기아 올 뉴 모닝 1.0 가솔린 럭셔리,자동,5인승,3기통,82마력,9.6kgm,가솔린,3만km,500
기아 로체 이노베이션 2.0 LPI LX 최고급형 스페셜,자동,5인승,,,,LPG,15만km,320
기아 모하비 KV300 4WD 최고급형,자동,7인승,6기통,250마력,55.1kgm,디젤,14만km,960
기아 포르테 1.6 CVVT S 기본형,자동,5인승,4기통,124마력,15.9kgm,가솔린,3만km,500
기아 스포티지 4세대 2.0 디젤 2WD 노블레스,자동,5인승,4기통,186마력,41kgm,디젤,6만km,"1,730"
제네시스 G80 3.3 T-GDi AWD 스포츠,자동,5인승,6기통,370마력,52kgm,가솔린,2만km,"4,500"
현대 싼타페 더 프라임 2.0 디젤 2WD  프리미엄,자동,,,,,디젤,9만km,"1,280"
기아 K5 2.0  디럭스,자동,5인승,4기통,165마력,20.2kgm,가솔린,8만km,520
현대 그레이스 15인승 그랜드 살롱,수동,15인승,,,,디젤,31만km,370
기아 봉고3 캠핑카,자동,,,,,디젤,3만km,"2,650"
제일모빌 이동업무차,자동,,,,,디젤,2만km,"6,550"
르노삼성 마스터 2.3 디젤 캠핑카,수동,,,,,디젤,1만km,"3,950"
아리아 이동업무차,자동,,,,,디젤,2만km,"6,450"
오토캠프 이동업무차,자동,,,,,디젤,3만km,"3,850"
기아 봉고3 캠핑카,자동,,,,,디젤,2만km,"2,850"
현대 그랜져TG  Q270 럭셔리,자동,5인승,6기통,195마력,25.6kgm,가솔린,13만km,270
기아 올 뉴 카니발 2.2 디젤 9인승 하이리무진 노블레스,자동,9인승,4기통,202마력,45kgm,디젤,6만km,"3,500"
현대 아반떼MD M16 GDi 에비뉴,자동,5인승,4기통,140마력,16.9kgm,가솔린,7만km,630
제네시스 G90 3.8 GDi AWD 프레스티지,자동,5인승,6기통,315마력,40.5kgm,가솔린,4만km,"7,390"
쉐보레 스파크 LS,자동,5인승,4기통,70마력,9.4kgm,가솔린,8만km,300
기아 로체 이노베이션 2.0 LEX 최고급형,자동,5인승,4기통,163마력,20.1kgm,가솔린,11만km,350
기아 뉴 프라이드 1.5 VGT 4도어 LX,자동,5인승,4기통,112마력,24.5kgm,디젤,14만km,210
기아 올 뉴 쏘렌토 2.2 디젤 4WD 노블레스 스페셜,자동,7인승,4기통,202마력,45kgm,디젤,9만km,"2,260"
쌍용 티볼리 에어 1.5 가솔린 2WD A3,자동,5인승,4기통,163마력,26.5kgm,가솔린,9천km,"1,950"
기아 K3 1.6 GDI 노블레스,자동,5인승,4기통,140마력,16.9kgm,가솔린,8만km,800
쌍용 뉴 체어맨W V8 5000  서밋,자동,4인승,8기통,306마력,45kgm,가솔린,7만km,"3,290"
GM대우 윈스톰 LT 7인승 2WD  익스트림,자동,7인승,4기통,150마력,32.6kgm,디젤,17만km,230
제네시스 G70 3.3 T-GDi AWD 스포츠 슈프림,자동,5인승,6기통,370마력,52kgm,가솔린,4만km,"3,550"
현대 벨로스터 터보 D 스펙,자동,4인승,4기통,204마력,26.9kgm,가솔린,10만km,750
쌍용 코란도 C 클래시 2WD 럭셔리,자동,5인승,4기통,181마력,36.7kgm,디젤,9만km,680
제네시스 G90 3.8 GDi AWD 프리미엄 럭셔리,자동,5인승,6기통,315마력,40.5kgm,가솔린,24km,"8,850"
기아 비스토  LPG,자동,5인승,,,,LPG,12만km,150
르노삼성 SM7 VQ23 LE,자동,5인승,6기통,170마력,23kgm,가솔린,18만km,220
